#Data for Kieler Straße, Hamburg from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:25]
#Station is located at latitude 53.56437000, longitude 9.94461600
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Hamburger air monitoring network - (Hamburger Luftmessnetz – FHH)  http://luft.hamburg.de/
date,pm25,pm25_min,pm25_max,no2,no2_min,no2_max
2020-04-02,7,7,7,"-","-","-"
2020-04-01,8.1,7,9,41.5,17,71
2020-03-31,5.9,5,8,50.9,20,95
2020-03-30,4.2,2,6,50.3,15,80
2020-03-29,10,3,22,8.8,2,40
2020-03-28,29,24,31,23.3,12,56
2020-03-27,24.6,22,28,26.3,13,51
2020-03-26,18.4,17,21,36.3,16,150
2020-03-25,14.8,13,16,41.5,26,80
2020-03-24,10.2,8,13,41.8,21,78
2020-03-23,5.3,3,8,34.2,13,64
2020-03-22,4.3,3,5,10.3,6,14
2020-03-21,6.3,5,8,12,7,21
2020-03-20,6.9,6,7,28.5,13,51
2020-03-19,9,7,12,40.3,7,62
2020-03-18,13.4,12,15,44.3,16,76
2020-03-17,10.9,8,14,60.2,42,91
2020-03-16,7.5,7,8,50.7,28,89
2020-03-15,8.6,7,10,33.3,16,61
2020-03-14,8.3,7,10,39.1,20,75
2020-03-13,5.2,4,6,24.6,13,62
2020-03-12,6.4,5,8,27.2,11,52
2020-03-11,6.3,6,7,40.8,6,80
2020-03-10,9,7,11,57.4,12,148
2020-03-09,9.9,9,11,58.9,32,91
2020-03-08,13,11,15,40.3,24,55
2020-03-07,17.6,15,19,35,12,108
2020-03-06,13.7,12,17,29,9,43
2020-03-05,16.9,14,19,42,18,75
2020-03-04,13.5,9,19,58.8,25,99
2020-03-03,9.3,8,11,49.8,23,79
2020-03-02,9.5,7,11,59.2,29,104
2020-03-01,7.6,6,9,47.5,23,92
2020-02-29,8,7,9,35.8,16,53
2020-02-28,9.3,8,11,50.7,24,83
2020-02-27,7.5,6,9,57.2,13,91
2020-02-26,6.9,4,8,45,20,85
2020-02-25,17.5,4,30,31.1,8,55
2020-02-24,5.3,3,7,46.4,8,87
2020-02-23,4.7,3,7,22.3,7,57
2020-02-22,8.1,7,9,21.7,11,37
2020-02-21,6.4,5,9,34.5,4,54
2020-02-20,7.8,6,9,54.7,25,84
2020-02-19,6,5,6,36.3,19,61
2020-02-18,5.6,5,6,38.7,11,63
2020-02-17,5.1,3,7,40.4,7,70
2020-02-16,6.8,4,11,20.2,10,28
2020-02-15,15.9,12,19,41.7,26,60
2020-02-14,13.1,9,18,57.8,42,80
2020-02-13,6.9,5,8,52.9,17,95
2020-02-12,5,5,5,29.8,8,56
2020-02-11,5.4,5,6,30.3,9,56
2020-02-10,7.9,6,16,28.7,6,55
2020-02-09,29,16,36,23.9,12,43
2020-02-08,16.3,10,28,48.7,20,78
2020-02-07,11.5,9,14,51.3,12,85
2020-02-06,7.3,6,12,41.6,15,61
2020-02-05,5.1,5,6,43.4,10,70
2020-02-04,6.6,6,7,35,13,71
2020-02-03,6.4,5,7,43.7,21,78
2020-02-02,6,5,8,32.1,6,62
2020-02-01,10.2,8,12,25.8,13,48
2020-01-31,8.8,8,10,36.3,9,72
2020-01-30,7.2,6,9,52.7,17,89
2020-01-29,6,6,6,44.1,10,65
2020-01-28,11.6,7,17,52.5,18,92
2020-01-27,17.4,17,18,57.2,29,75
2020-01-26,18.3,16,21,34.6,25,40
2020-01-25,24.2,23,26,41.3,33,54
2020-01-24,21.1,14,25,49,38,59
2020-01-23,9.1,7,13,58.5,13,86
2020-01-22,17.7,11,23,42.4,16,64
2020-01-21,19.2,13,23,45.4,29,66
2020-01-20,10,8,12,59.2,33,80
2020-01-19,7,6,8,37.8,21,63
2020-01-18,10.9,9,13,34.7,13,58
2020-01-17,12.3,11,13,56.6,27,82
2020-01-16,9.9,6,13,58.9,17,94
2020-01-15,6,6,7,45.5,16,73
2020-01-14,10.5,7,13,43.3,20,66
2020-01-13,9.2,7,12,57.6,8,93
2020-01-12,10.3,9,12,28.6,19,44
2020-01-11,6.9,6,9,38.9,14,53
2020-01-10,10,8,11,35.2,14,72
2020-01-09,10.7,10,12,55,44,75
2020-01-08,14.1,11,18,45.3,21,63
2020-01-07,17.7,17,19,51.4,26,80
2020-01-06,17.2,13,19,56.8,17,89
2020-01-05,6.9,4,12,41,19,60
2020-01-04,5.8,4,9,22.3,14,37
2020-01-03,19,10,29,39.3,24,60
2020-01-02,30.2,27,57,42.8,23,58
2020-01-01,64.3,28,73,48.4,29,73
2019-12-31,9.8,9,14,29.5,15,62
2019-12-30,10.2,9,13,46.7,25,64
2019-12-29,12,11,12,46.2,34,58
2019-12-28,9.4,7,13,53.2,43,68
2019-12-27,9,7,10,36.4,22,61
2019-12-26,5.6,4,8,40,16,71
2019-12-25,9.7,9,11,37.5,23,65
2019-12-24,7.9,7,9,40.4,18,69
2019-12-23,11.5,8,13,46.5,14,78
2019-12-22,8.1,6,12,28.7,23,35
2019-12-21,10.2,6,16,53.6,37,76
2019-12-20,16.5,16,17,38.1,23,61
2019-12-19,17.1,13,19,44.1,28,56
2019-12-18,11.3,10,14,61.6,7,91
2019-12-17,13.2,11,15,61,26,91
2019-12-16,7.2,5,10,72.1,19,101
2019-12-15,6.9,5,10,30,20,45
2019-12-14,16.3,13,18,46.2,26,64
2019-12-13,15.6,14,20,35.3,18,47
2019-12-12,15.7,9,20,56.5,28,81
2019-12-11,9.3,9,10,62.3,25,86
2019-12-10,7.8,7,9,64.6,9,105
2019-12-09,5.6,4,7,50.3,15,92
2019-12-08,5,5,6,23.7,14,36
2019-12-07,8.7,5,15,28.1,14,52
2019-12-06,26.1,18,30,50.4,26,73
2019-12-05,30.1,27,35,57.7,35,79
2019-12-04,26.5,15,34,55,30,80
2019-12-03,8.7,7,12,54.4,27,81
2019-12-02,18.7,11,22,52.8,28,86
2019-12-01,13,7,20,48.3,38,62
2019-11-30,5.3,5,6,57,39,79
2019-11-29,4.7,4,6,42.2,12,91
2019-11-28,10.2,6,13,48.7,14,82
2019-11-27,15.9,14,20,42.4,28,62
2019-11-26,28.5,24,32,40.7,18,64
2019-11-25,31.6,31,32,30.6,15,46
2019-11-24,27.2,25,30,18.8,13,29
2019-11-23,22.4,21,24,20.1,16,25
2019-11-22,21.1,19,23,36,24,46
2019-11-21,19.3,16,23,39.4,29,52
2019-11-20,16.4,9,22,66.4,21,90
2019-11-19,12.8,7,21,54.2,22,84
2019-11-18,20,18,23,41.3,11,63
2019-11-17,18.8,18,21,40.7,23,55
2019-11-16,24.4,22,26,43,26,69
2019-11-15,18.2,16,22,27.3,10,41
2019-11-14,15.1,12,16,43.7,30,69
2019-11-13,9.9,9,11,56,23,75
2019-11-12,15.3,12,19,59.3,31,82
2019-11-11,20,19,21,47.3,33,59
2019-11-10,20.3,19,21,48,34,65
2019-11-09,17.9,17,20,47.4,33,63
2019-11-08,15.5,14,17,63.9,27,98
2019-11-07,11.9,9,13,42.8,29,67
2019-11-06,8.5,6,13,49.3,17,71
2019-11-05,16.5,14,18,48.5,24,76
2019-11-04,9.5,7,13,53.2,19,85
2019-11-03,7.8,6,10,51,39,66
2019-11-02,20,11,27,53.2,24,92
2019-11-01,22.3,19,27,46.5,30,60
2019-10-31,21.6,18,24,52.8,42,69
2019-10-30,14.1,11,17,92,53,140
2019-10-29,8.4,6,10,67.1,31,116
2019-10-28,4.4,4,5,53,11,87
2019-10-27,5.2,4,6,21.3,5,44
2019-10-26,7.8,6,9,37.6,22,67
2019-10-25,20.7,10,34,54.5,19,81
2019-10-24,28,20,34,43.2,20,66
2019-10-23,17.7,14,20,42.8,25,68
2019-10-22,13.4,13,14,56.1,26,79
2019-10-21,9.2,6,12,40.6,7,71
2019-10-20,10.9,7,13,50.3,19,79
2019-10-19,6.9,6,8,50.5,23,74
2019-10-18,9.9,8,11,52.4,26,67
2019-10-17,10.7,9,13,57.1,27,85
2019-10-16,18.5,15,21,54.5,23,84
2019-10-15,11.1,8,18,57.8,11,102
2019-10-14,10,8,12,39.9,12,79
2019-10-13,8.4,5,12,43.5,21,66
2019-10-12,7,5,9,40.8,13,60
2019-10-11,8.7,8,10,44.5,22,80
2019-10-10,10.7,10,11,43.7,19,70
2019-10-09,11.4,11,12,49,22,77
2019-10-08,10.6,10,11,49.3,31,73
2019-10-07,7.6,5,10,54.4,27,83
2019-10-06,4.3,4,5,24.9,17,42
2019-10-05,6.8,4,10,23.1,11,42
2019-10-04,9,5,11,35.3,19,69
2019-10-03,3.4,3,5,22.1,8,53
2019-10-02,11.4,10,13,48.4,21,72
2019-10-01,6.1,4,9,49.2,21,72
