#Data for Stresemannstraße, Hamburg from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:25]
#Station is located at latitude 53.56086200, longitude 9.95738700
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Hamburger air monitoring network - (Hamburger Luftmessnetz – FHH)  http://luft.hamburg.de/
date,pm10,pm10_min,pm10_max,no2,no2_min,no2_max
2020-04-02,11,11,11,"-","-","-"
2020-04-01,12,11,13,34.7,18,53
2020-03-31,10.3,9,12,52.6,26,94
2020-03-30,7.2,4,10,45.1,22,70
2020-03-29,16.7,6,31,9.4,2,44
2020-03-28,39.5,33,42,28.3,16,72
2020-03-27,36.2,33,40,39.3,18,78
2020-03-26,28,24,32,44.1,18,91
2020-03-25,22.5,19,25,46.8,19,80
2020-03-24,14,11,18,35.7,16,65
2020-03-23,6.7,4,10,32.7,11,74
2020-03-22,5.5,5,6,15.1,8,27
2020-03-21,9.5,6,13,18.3,9,28
2020-03-20,13.1,11,14,32.4,12,59
2020-03-19,12.1,10,15,43.7,10,65
2020-03-18,17.3,15,20,34,16,52
2020-03-17,16.7,13,20,49.6,23,84
2020-03-16,10.8,9,13,44.7,24,78
2020-03-15,12.7,9,17,23,11,55
2020-03-14,19,17,21,40.7,19,84
2020-03-13,8,8,8,29.8,24,39
2020-03-12,10.4,8,13,19,9,36
2020-03-11,9.3,7,13,29.5,7,61
2020-03-10,10.1,7,12,32.2,12,50
2020-03-09,12.1,11,15,44.1,21,72
2020-03-08,16.8,15,19,29,17,60
2020-03-07,19.2,17,21,42.7,19,87
2020-03-06,18.4,17,20,42.1,10,68
2020-03-05,20.1,19,21,49.6,27,72
2020-03-04,16.3,13,20,41.1,24,55
2020-03-03,13.6,12,15,50.5,18,84
2020-03-02,11.1,7,15,48.2,26,72
2020-03-01,12.8,6,17,31.1,15,81
2020-02-29,13.1,11,17,23.7,12,35
2020-02-28,11.8,11,13,33.1,21,55
2020-02-27,9.5,7,11,36.7,13,60
2020-02-26,8.8,6,11,44.9,19,65
2020-02-25,8.4,6,12,20.2,7,43
2020-02-24,9.4,6,13,33.2,8,50
2020-02-23,8.4,6,11,22.9,9,50
2020-02-22,13.7,11,15,18.4,11,26
2020-02-21,10.5,9,13,24,8,37
2020-02-20,12.6,10,14,34.3,15,53
2020-02-19,9.7,9,11,26.8,15,41
2020-02-18,9.2,8,10,26.3,13,42
2020-02-17,8.4,6,11,26.8,8,41
2020-02-16,10.3,7,15,13.8,9,19
2020-02-15,18.9,16,22,29.7,20,45
2020-02-14,15.5,12,20,54.9,38,69
2020-02-13,11,9,13,38.2,15,63
2020-02-12,8.1,8,9,19.8,7,34
2020-02-11,7.7,7,8,19,8,26
2020-02-10,9.6,8,15,21.6,5,42
2020-02-09,22.1,17,25,19.6,9,35
2020-02-08,15.6,14,20,33.8,14,51
2020-02-07,16,14,18,43.1,19,75
2020-02-06,15.1,11,18,37,15,53
2020-02-05,9.3,8,10,44,13,77
2020-02-04,11.7,10,14,35.6,17,67
2020-02-03,11.8,11,12,34.3,17,50
2020-02-02,12.3,10,15,28.6,8,57
2020-02-01,12.5,10,16,22.3,15,46
2020-01-31,14.8,14,16,26.3,8,40
2020-01-30,11.4,8,15,33.7,17,56
2020-01-29,6,5,7,33.2,8,64
2020-01-28,11.6,7,18,35,18,58
2020-01-27,20.4,19,21,42.2,29,54
2020-01-26,19.5,19,21,32.5,26,38
2020-01-25,23.3,22,25,36.6,33,43
2020-01-24,22.3,19,25,40,36,45
2020-01-23,17,15,18,44.9,16,67
2020-01-22,24.4,18,30,47.8,15,80
2020-01-21,26,22,30,37.6,27,53
2020-01-20,22.1,19,24,44.2,32,56
2020-01-19,11.6,9,18,37.2,20,71
2020-01-18,13.3,11,16,25.1,9,38
2020-01-17,17,15,20,44.7,21,62
2020-01-16,12.2,7,17,40.8,13,61
2020-01-15,6.3,6,7,26.3,16,43
2020-01-14,12.5,8,16,28.2,17,38
2020-01-13,11.6,10,14,42,8,73
2020-01-12,14.6,12,16,21.8,15,30
2020-01-11,12.1,10,15,31.1,22,48
2020-01-10,11.3,10,13,31.9,20,52
2020-01-09,15.7,14,17,41.4,34,54
2020-01-08,20,15,25,34.7,19,50
2020-01-07,21.3,18,24,36.2,23,52
2020-01-06,21.7,20,23,40.3,14,57
2020-01-05,16.9,15,20,33.9,24,56
2020-01-04,13.9,12,16,25.6,10,49
2020-01-03,20.4,12,30,31.7,17,46
2020-01-02,34.7,30,85,35.3,23,45
2020-01-01,114.9,60,123,41.9,25,61
2019-12-31,16.6,11,26,33.8,21,57
2019-12-30,10.8,9,13,37.2,23,49
2019-12-29,13.3,12,15,38.3,25,49
2019-12-28,12.5,10,15,48.4,33,65
2019-12-27,10.9,10,11,45.2,23,62
2019-12-26,8.1,7,10,33.3,14,66
2019-12-25,13.4,11,15,38.3,21,62
2019-12-24,11.3,9,14,35.7,13,61
2019-12-23,14.2,11,16,32.2,13,61
2019-12-22,17.4,16,19,24.2,17,32
2019-12-21,14.4,11,20,41.4,31,58
2019-12-20,24,21,25,35.1,21,50
2019-12-19,20.5,15,23,40.2,23,53
2019-12-18,14.4,13,17,42.9,7,68
2019-12-17,16.2,14,18,44.1,24,66
2019-12-16,"-","-","-",54.9,25,73
2019-12-15,"-","-","-",22.6,12,43
2019-12-14,21.2,19,23,31.5,14,43
2019-12-13,18.3,16,24,35.9,16,55
2019-12-12,17.7,10,24,44.5,30,57
2019-12-11,14.2,10,18,46.7,14,63
2019-12-10,16.4,13,19,44.1,14,81
2019-12-09,9.6,8,11,42.9,17,89
2019-12-08,9.9,9,11,22.3,16,31
2019-12-07,9.8,8,16,27.1,13,44
2019-12-06,29,20,34,38.5,25,53
2019-12-05,34,31,39,46.2,36,54
2019-12-04,35.3,33,38,49.6,40,62
2019-12-03,"-","-","-",41.1,30,52
2019-12-02,23.4,22,25,56,27,90
2019-12-01,15.9,10,22,44.6,34,60
2019-11-30,10.1,10,11,44.4,34,66
2019-11-29,8.8,7,10,38.9,13,79
2019-11-28,11.2,7,16,33.1,18,53
2019-11-27,19.5,17,24,35.9,26,47
2019-11-26,32.8,28,37,30.2,17,42
2019-11-25,37.8,37,39,26.5,13,43
2019-11-24,32.1,28,36,23.1,14,37
2019-11-23,26.2,25,27,27.8,17,39
2019-11-22,25.2,24,27,32.6,23,47
2019-11-21,23.5,20,27,50.4,28,68
2019-11-20,20.5,12,26,68,22,105
2019-11-19,14.1,8,23,38.3,17,63
2019-11-18,23,20,25,34.1,13,54
2019-11-17,20.5,18,23,39.7,23,55
2019-11-16,30.2,25,33,31.6,24,40
2019-11-15,22.9,20,27,40.6,14,73
2019-11-14,17.7,14,20,44.9,32,74
2019-11-13,11.8,11,13,40,18,54
2019-11-12,15.9,14,18,39,24,56
2019-11-11,18.9,18,20,37.2,29,47
2019-11-10,23.4,21,24,39.4,27,56
2019-11-09,23.6,20,25,45.5,35,63
2019-11-08,16.4,16,18,55,26,74
2019-11-07,12,9,16,48.1,27,73
2019-11-06,10.6,7,16,49.4,17,70
2019-11-05,18,14,21,51.7,25,106
2019-11-04,10.3,9,13,40.9,17,69
2019-11-03,8.8,8,9,39.8,29,68
2019-11-02,19.3,10,27,32,18,52
2019-11-01,24,22,27,34.5,25,43
2019-10-31,29.1,25,31,51.2,40,75
2019-10-30,19.5,16,23,82,55,116
2019-10-29,12.2,10,15,74.5,43,109
2019-10-28,9.3,9,10,42.8,10,78
2019-10-27,9.3,8,11,16.2,6,29
2019-10-26,13,11,15,22.7,14,37
2019-10-25,28.2,16,42,34.3,18,48
2019-10-24,37.2,30,42,31.6,15,45
2019-10-23,24.9,18,30,41.1,19,61
2019-10-22,18.6,16,20,41.5,22,55
2019-10-21,13.7,12,17,39.1,9,66
2019-10-20,12.9,10,15,45.2,22,83
2019-10-19,9.8,9,10,34.8,20,48
2019-10-18,10.8,10,11,32.1,16,49
2019-10-17,13.2,11,16,41.9,22,68
2019-10-16,24.4,17,29,43.4,22,66
2019-10-15,20.6,16,27,54.2,11,97
2019-10-14,15.9,15,16,40.8,8,73
2019-10-13,10.7,7,15,33.3,15,68
2019-10-12,9.1,7,13,29.4,10,50
2019-10-11,12.1,11,13,30,26,42
2019-10-10,12.7,10,16,29.2,15,38
2019-10-09,17.6,16,20,34.3,17,52
2019-10-08,13.8,12,15,34.7,28,61
2019-10-07,10,8,12,52.5,26,85
2019-10-06,10.2,9,11,34,23,45
2019-10-05,11.7,9,14,38,16,62
2019-10-04,13.6,10,16,41.8,20,85
2019-10-03,7.7,7,9,27.5,10,56
2019-10-02,9,8,10,42,18,70
2019-10-01,8.5,6,10,48.9,15,79
