#Data for Cornale , Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.04008561, longitude 8.91415717
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,o3,o3_min,o3_max,no2,no2_min,no2_max,co,co_min,co_max
2020-04-01,17,17,17,92,92,92,19,19,19,0.6,0.6,0.6
2020-03-31,9,9,9,77,77,77,15,15,15,0.6,0.6,0.6
2020-03-30,26,26,26,86,86,86,22,22,22,0.6,0.6,0.6
2020-03-29,39,39,39,98,98,98,11,11,11,0.7,0.7,0.7
2020-03-28,40,40,40,91,91,91,19,19,19,0.7,0.7,0.7
2020-03-27,26,26,26,67,67,67,19,19,19,0.6,0.6,0.6
2020-03-26,14,14,14,66,66,66,12,12,12,0.6,0.6,0.6
2020-03-25,16,16,16,79,79,79,12,12,12,0.6,0.6,0.6
2020-03-24,17,17,17,87,87,87,23,23,23,0.6,0.6,0.6
2020-03-23,12,12,12,77,77,77,20,20,20,0.6,0.6,0.6
2020-03-22,30,30,30,72,72,72,12,12,12,0.6,0.6,0.6
2020-03-21,23,23,23,102,102,102,17,17,17,0.6,0.6,0.6
2020-03-20,34,34,34,85,85,85,25,25,25,0.7,0.7,0.7
2020-03-19,48,48,48,111,111,111,34,34,34,0.7,0.7,0.7
2020-03-18,41,41,41,108,108,108,33,33,33,0.6,0.6,0.6
2020-03-17,24,24,24,94,94,94,26,26,26,0.5,0.5,0.5
2020-03-16,25,25,25,89,89,89,26,26,26,0.6,0.6,0.6
2020-03-15,13,13,13,83,83,83,16,16,16,0.5,0.5,0.5
2020-03-14,21,21,21,58,58,58,15,15,15,0.5,0.5,0.5
2020-03-13,9,9,9,99,99,99,15,15,15,0.4,0.4,0.4
2020-03-12,13,13,13,79,79,79,41,41,41,0.5,0.5,0.5
2020-03-11,12,12,12,81,81,81,20,20,20,0.5,0.5,0.5
2020-03-10,19,19,19,89,89,89,25,25,25,0.5,0.5,0.5
2020-03-09,16,16,16,84,84,84,43,43,43,0.7,0.7,0.7
2020-03-08,"-","-","-",91,91,91,30,30,30,0.6,0.6,0.6
2020-03-07,97,97,97,83,83,83,28,28,28,0.7,0.7,0.7
2020-03-06,68,68,68,71,71,71,46,46,46,0.6,0.6,0.6
2020-03-05,"-","-","-",65,65,65,44,44,44,0.6,0.6,0.6
2020-03-04,"-","-","-",85,85,85,35,35,35,0.6,0.6,0.6
2020-03-03,"-","-","-",70,70,70,42,42,42,0.5,0.5,0.5
2020-03-02,25,25,25,47,47,47,39,39,39,0.7,0.7,0.7
2020-03-01,41,41,41,39,39,39,29,29,29,0.6,0.6,0.6
2020-02-29,27,27,27,47,47,47,49,49,49,0.7,0.7,0.7
2020-02-28,13,13,13,90,90,90,48,48,48,0.5,0.5,0.5
2020-02-27,10,10,10,68,68,68,38,38,38,0.5,0.5,0.5
2020-02-26,19,19,19,82,82,82,28,28,28,0.5,0.5,0.5
2020-02-25,68,68,68,48,48,48,32,32,32,0.5,0.5,0.5
2020-02-24,26,26,26,80,80,80,27,27,27,0.5,0.5,0.5
2020-02-23,45,45,45,83,83,83,35,35,35,0.7,0.7,0.7
2020-02-22,55,55,55,71,71,71,40,40,40,0.6,0.6,0.6
2020-02-21,31,31,31,79,79,79,40,40,40,0.6,0.6,0.6
2020-02-20,25,25,25,64,64,64,45,45,45,0.5,0.5,0.5
2020-02-19,34,34,34,73,73,73,59,59,59,0.6,0.6,0.6
2020-02-18,60,60,60,87,87,87,48,48,48,0.7,0.7,0.7
2020-02-17,74,74,74,10,10,10,37,37,37,0.7,0.7,0.7
2020-02-16,69,69,69,43,43,43,40,40,40,0.7,0.7,0.7
2020-02-15,51,51,51,60,60,60,44,44,44,0.6,0.6,0.6
2020-02-14,46,46,46,69,69,69,50,50,50,0.5,0.5,0.5
2020-02-13,24,24,24,58,58,58,40,40,40,0.4,0.4,0.4
2020-02-12,8,8,8,80,80,80,52,52,52,0.3,0.3,0.3
2020-02-11,16,16,16,83,83,83,42,42,42,0.5,0.5,0.5
2020-02-10,71,71,71,42,42,42,45,45,45,0.7,0.7,0.7
2020-02-09,69,69,69,12,12,12,31,31,31,0.7,0.7,0.7
2020-02-08,40,40,40,31,31,31,48,48,48,0.6,0.6,0.6
2020-02-07,33,33,33,46,46,46,59,59,59,0.6,0.6,0.6
2020-02-06,15,15,15,51,51,51,38,38,38,0.4,0.4,0.4
2020-02-05,8,8,8,80,80,80,19,19,19,0.3,0.3,0.3
2020-02-04,13,13,13,79,79,79,31,31,31,0.5,0.5,0.5
2020-02-03,15,15,15,19,19,19,35,35,35,0.6,0.6,0.6
2020-02-02,28,28,28,36,36,36,25,25,25,0.6,0.6,0.6
2020-02-01,46,46,46,9,9,9,40,40,40,0.6,0.6,0.6
2020-01-31,45,45,45,21,21,21,46,46,46,0.6,0.6,0.6
2020-01-30,27,27,27,28,28,28,47,47,47,0.4,0.4,0.4
2020-01-29,44,44,44,53,53,53,47,47,47,0.6,0.6,0.6
2020-01-28,79,79,79,41,41,41,46,46,46,0.5,0.5,0.5
2020-01-27,66,66,66,41,41,41,50,50,50,0.5,0.5,0.5
2020-01-26,69,69,69,46,46,46,38,38,38,0.6,0.6,0.6
2020-01-25,74,74,74,18,18,18,49,49,49,0.6,0.6,0.6
2020-01-24,80,80,80,14,14,14,60,60,60,0.7,0.7,0.7
2020-01-23,55,55,55,13,13,13,53,53,53,0.6,0.6,0.6
2020-01-22,40,40,40,38,38,38,49,49,49,0.9,0.9,0.9
2020-01-21,36,36,36,18,18,18,56,56,56,0.9,0.9,0.9
2020-01-20,23,23,23,47,47,47,55,55,55,1,1,1
2020-01-19,33,33,33,33,33,33,44,44,44,0.9,0.9,0.9
2020-01-18,36,36,36,54,54,54,45,45,45,1,1,1
2020-01-17,69,69,69,34,34,34,55,55,55,1.2,1.2,1.2
2020-01-16,80,80,80,27,27,27,54,54,54,1.2,1.2,1.2
2020-01-15,100,100,100,15,15,15,46,46,46,1.1,1.1,1.1
2020-01-14,72,72,72,7,7,7,49,49,49,1,1,1
2020-01-13,49,49,49,17,17,17,49,49,49,0.8,0.8,0.8
2020-01-12,42,42,42,39,39,39,45,45,45,0.6,0.6,0.6
2020-01-11,51,51,51,35,35,35,39,39,39,0.7,0.7,0.7
2020-01-10,63,63,63,20,20,20,67,67,67,1,1,1
2020-01-09,42,42,42,11,11,11,"-","-","-",1,1,1
2020-01-08,35,35,35,19,19,19,44,44,44,0.6,0.6,0.6
2020-01-07,40,40,40,14,14,14,47,47,47,0.5,0.5,0.5
2020-01-06,54,54,54,13,13,13,41,41,41,0.6,0.6,0.6
2020-01-05,34,34,34,31,31,31,38,38,38,0.6,0.6,0.6
2020-01-04,49,49,49,39,39,39,41,41,41,0.8,0.8,0.8
2020-01-03,68,68,68,16,16,16,48,48,48,0.7,0.7,0.7
2020-01-02,57,57,57,31,31,31,43,43,43,0.7,0.7,0.7
2020-01-01,57,57,57,30,30,30,35,35,35,0.8,0.8,0.8
2019-12-31,63,63,63,25,25,25,34,34,34,0.5,0.5,0.5
2019-12-30,58,58,58,34,34,34,47,47,47,0.4,0.4,0.4
2019-12-29,57,57,57,42,42,42,40,40,40,0.6,0.6,0.6
2019-12-28,48,48,48,25,25,25,46,46,46,0.5,0.5,0.5
2019-12-27,37,37,37,23,23,23,41,41,41,0.5,0.5,0.5
2019-12-26,26,26,26,29,29,29,42,42,42,0.5,0.5,0.5
2019-12-25,22,22,22,42,42,42,38,38,38,0.3,0.3,0.3
2019-12-24,12,12,12,39,39,39,38,38,38,0.2,0.2,0.2
2019-12-23,7,7,7,68,68,68,46,46,46,0.1,0.1,0.1
2019-12-22,10,10,10,56,56,56,41,41,41,0.2,0.2,0.2
2019-12-21,11,11,11,30,30,30,38,38,38,0.2,0.2,0.2
2019-12-20,15,15,15,9,9,9,50,50,50,0.5,0.5,0.5
2019-12-19,36,36,36,3,3,3,44,44,44,0.6,0.6,0.6
2019-12-18,41,41,41,4,4,4,26,26,26,0.6,0.6,0.6
2019-12-17,32,32,32,5,5,5,29,29,29,0.3,0.3,0.3
2019-12-16,56,56,56,5,5,5,25,25,25,0.5,0.5,0.5
2019-12-15,49,49,49,5,5,5,32,32,32,0.5,0.5,0.5
2019-12-14,27,27,27,44,44,44,33,33,33,0.4,0.4,0.4
2019-12-13,28,28,28,31,31,31,40,40,40,0.2,0.2,0.2
2019-12-12,39,39,39,37,37,37,38,38,38,0.5,0.5,0.5
2019-12-11,29,29,29,19,19,19,40,40,40,0.5,0.5,0.5
2019-12-10,21,21,21,67,67,67,36,36,36,0.7,0.7,0.7
2019-12-09,65,65,65,49,49,49,31,31,31,0.8,0.8,0.8
2019-12-08,82,82,82,7,7,7,40,40,40,1,1,1
2019-12-07,67,67,67,23,23,23,35,35,35,0.9,0.9,0.9
2019-12-06,59,59,59,11,11,11,34,34,34,0.9,0.9,0.9
2019-12-05,48,48,48,19,19,19,34,34,34,0.7,0.7,0.7
2019-12-04,25,25,25,48,48,48,28,28,28,0.5,0.5,0.5
2019-12-03,15,15,15,35,35,35,28,28,28,0.5,0.5,0.5
2019-12-02,11,11,11,34,34,34,29,29,29,0.5,0.5,0.5
2019-12-01,29,29,29,28,28,28,26,26,26,0.5,0.5,0.5
2019-11-30,23,23,23,26,26,26,30,30,30,0.6,0.6,0.6
2019-11-29,18,18,18,9,9,9,30,30,30,0.6,0.6,0.6
2019-11-28,18,18,18,9,9,9,26,26,26,0.6,0.6,0.6
2019-11-27,28,28,28,4,4,4,28,28,28,1.1,1.1,1.1
2019-11-26,16,16,16,19,19,19,29,29,29,1.1,1.1,1.1
2019-11-25,10,10,10,47,47,47,36,36,36,0.9,0.9,0.9
2019-11-24,9,9,9,64,64,64,22,22,22,0.9,0.9,0.9
2019-11-23,10,10,10,58,58,58,31,31,31,1,1,1
2019-11-22,18,18,18,14,14,14,34,34,34,1.1,1.1,1.1
2019-11-21,22,22,22,21,21,21,35,35,35,1.1,1.1,1.1
2019-11-20,10,10,10,41,41,41,31,31,31,1,1,1
2019-11-19,8,8,8,59,59,59,41,41,41,1,1,1
2019-11-18,21,21,21,39,39,39,30,30,30,1,1,1
2019-11-17,16,16,16,51,51,51,19,19,19,0.6,0.6,0.6
2019-11-16,22,22,22,23,23,23,25,25,25,0.6,0.6,0.6
2019-11-15,10,10,10,33,33,33,30,30,30,0.6,0.6,0.6
2019-11-14,24,24,24,16,16,16,33,33,33,0.6,0.6,0.6
2019-11-13,14,14,14,58,58,58,37,37,37,0.6,0.6,0.6
2019-11-12,13,13,13,32,32,32,30,30,30,0.5,0.5,0.5
2019-11-11,24,24,24,29,29,29,26,26,26,0.7,0.7,0.7
2019-11-10,33,33,33,30,30,30,30,30,30,0.6,0.6,0.6
2019-11-09,19,19,19,28,28,28,26,26,26,0.6,0.6,0.6
2019-11-08,11,11,11,33,33,33,41,41,41,0.5,0.5,0.5
2019-11-07,"-","-","-",12,12,12,39,39,39,0.5,0.5,0.5
2019-11-06,1,1,1,56,56,56,33,33,33,0.6,0.6,0.6
2019-11-05,"-","-","-",32,32,32,35,35,35,0.6,0.6,0.6
2019-11-04,"-","-","-",41,41,41,36,36,36,0.6,0.6,0.6
2019-11-03,"-","-","-",29,29,29,26,26,26,0.6,0.6,0.6
2019-11-02,"-","-","-",41,41,41,15,15,15,0.4,0.4,0.4
2019-11-01,22,22,22,34,34,34,23,23,23,0.4,0.4,0.4
2019-10-31,19,19,19,34,34,34,21,21,21,0.4,0.4,0.4
2019-10-30,40,40,40,23,23,23,31,31,31,0.6,0.6,0.6
2019-10-29,61,61,61,42,42,42,32,32,32,0.6,0.6,0.6
2019-10-28,45,45,45,60,60,60,41,41,41,0.7,0.7,0.7
2019-10-27,15,15,15,72,72,72,35,35,35,0.7,0.7,0.7
2019-10-26,14,14,14,56,56,56,29,29,29,0.4,0.4,0.4
2019-10-25,15,15,15,49,49,49,34,34,34,0.4,0.4,0.4
2019-10-24,31,31,31,57,57,57,25,25,25,0.5,0.5,0.5
2019-10-23,33,33,33,34,34,34,34,34,34,0.6,0.6,0.6
2019-10-22,31,31,31,51,51,51,29,29,29,0.5,0.5,0.5
2019-10-21,18,18,18,58,58,58,35,35,35,0.5,0.5,0.5
2019-10-20,35,35,35,58,58,58,19,19,19,0.4,0.4,0.4
2019-10-19,37,37,37,32,32,32,25,25,25,0.3,0.3,0.3
2019-10-18,8,8,8,56,56,56,32,32,32,0.3,0.3,0.3
2019-10-17,11,11,11,68,68,68,30,30,30,0.4,0.4,0.4
2019-10-16,6,6,6,74,74,74,33,33,33,0.4,0.4,0.4
2019-10-15,41,41,41,55,55,55,29,29,29,0.5,0.5,0.5
2019-10-14,48,48,48,51,51,51,32,32,32,0.5,0.5,0.5
2019-10-13,49,49,49,37,37,37,26,26,26,0.5,0.5,0.5
2019-10-12,39,39,39,87,87,87,26,26,26,0.5,0.5,0.5
2019-10-11,28,28,28,59,59,59,26,26,26,0.5,0.5,0.5
2019-10-10,32,32,32,64,64,64,39,39,39,0.4,0.4,0.4
2019-10-09,29,29,29,41,41,41,32,32,32,0.5,0.5,0.5
2019-10-08,19,19,19,69,69,69,38,38,38,0.4,0.4,0.4
2019-10-07,7,7,7,78,78,78,26,26,26,0.5,0.5,0.5
2019-10-06,24,24,24,81,81,81,18,18,18,0.5,0.5,0.5
2019-10-05,21,21,21,91,91,91,41,41,41,0.5,0.5,0.5
2019-10-04,16,16,16,53,53,53,40,40,40,0.5,0.5,0.5
2019-10-03,7,7,7,82,82,82,23,23,23,0.6,0.6,0.6
2019-10-02,10,10,10,89,89,89,33,33,33,0.6,0.6,0.6
2019-10-01,15,15,15,83,83,83,24,24,24,0.6,0.6,0.6
2019-09-30,16,16,16,98,98,98,20,20,20,0.6,0.6,0.6
2019-09-29,9,9,9,91,91,91,15,15,15,0.6,0.6,0.6
2019-09-28,14,14,14,100,100,100,23,23,23,0.6,0.6,0.6
2019-09-27,18,18,18,82,82,82,20,20,20,0.6,0.6,0.6
2019-09-26,40,40,40,100,100,100,25,25,25,0.6,0.6,0.6
2019-09-25,12,12,12,93,93,93,25,25,25,0.4,0.4,0.4
2019-09-24,24,24,24,91,91,91,27,27,27,0.4,0.4,0.4
2019-09-23,17,17,17,95,95,95,31,31,31,0.4,0.4,0.4
2019-09-22,18,18,18,85,85,85,17,17,17,0.4,0.4,0.4
2019-09-21,17,17,17,98,98,98,26,26,26,0.4,0.4,0.4
2019-09-20,14,14,14,90,90,90,24,24,24,0.4,0.4,0.4
2019-09-19,12,12,12,78,78,78,17,17,17,0.5,0.5,0.5
2019-09-18,18,18,18,119,119,119,16,16,16,0.5,0.5,0.5
2019-09-17,10,10,10,122,122,122,"-","-","-",0.4,0.4,0.4
2019-09-16,10,10,10,138,138,138,10,10,10,0.6,0.6,0.6
2019-09-15,9,9,9,128,128,128,11,11,11,0.5,0.5,0.5
2019-09-14,12,12,12,137,137,137,11,11,11,0.5,0.5,0.5
2019-09-13,13,13,13,138,138,138,14,14,14,0.5,0.5,0.5
2019-09-12,10,10,10,149,149,149,15,15,15,0.5,0.5,0.5
2019-09-11,9,9,9,118,118,118,18,18,18,0.4,0.4,0.4
2019-09-10,11,11,11,69,69,69,16,16,16,0.4,0.4,0.4
2019-09-09,5,5,5,93,93,93,12,12,12,0.3,0.3,0.3
2019-09-08,4,4,4,92,92,92,16,16,16,0.5,0.5,0.5
2019-09-07,6,6,6,93,93,93,16,16,16,0.5,0.5,0.5
2019-09-06,4,4,4,72,72,72,8,8,8,0.5,0.5,0.5
2019-09-05,13,13,13,132,132,132,8,8,8,0.5,0.5,0.5
2019-09-04,10,10,10,122,122,122,32,32,32,0.5,0.5,0.5
2019-09-03,8,8,8,110,110,110,31,31,31,0.5,0.5,0.5
2019-09-02,11,11,11,133,133,133,27,27,27,0.5,0.5,0.5
2019-09-01,12,12,12,141,141,141,26,26,26,0.5,0.5,0.5
2019-08-31,13,13,13,153,153,153,30,30,30,0.5,0.5,0.5
2019-08-30,10,10,10,134,134,134,15,15,15,0.4,0.4,0.4
2019-08-29,11,11,11,128,128,128,27,27,27,0.4,0.4,0.4
